Nome,Email,WhatsApp,Valor Conta,Fase,Distribuidora,Status,Data Criacao
"Mercado Tropical Ltda",mercadotropicalltda32@gmail.com,(31) 99778-9376,3361,BIFASICO,CEMIG Minas Gerais,new,2025-11-29T00:59:16.709Z
"Padaria Premium Ltda",padariapremiumltda73@gmail.com,(31) 99311-6721,2714,BIFASICO,CEMIG Minas Gerais,new,2025-10-15T06:37:35.887Z
"Sorveteria Mineiro Ltda",sorveteriamineiroltda90@gmail.com,(31) 93343-5284,692,MONOFASICO,CEMIG Minas Gerais,new,2026-01-07T00:45:41.842Z
"Mercado Real Ltda",mercadorealltda72@gmail.com,(31) 93537-0950,1936,BIFASICO,CEMIG Minas Gerais,new,2026-01-02T03:44:57.659Z
"Padaria Mais Express",padariamaisexpress48@gmail.com,(31) 99640-3495,2464,BIFASICO,CEMIG Minas Gerais,new,2025-12-08T18:26:56.582Z
"Açougue Sabor e Cia",aouguesaborecia5@gmail.com,(31) 90683-6882,427,TRIFASICO,CEMIG Minas Gerais,new,2025-12-30T18:37:21.765Z
"Açougue do Bairro Express",aouguedobairroexpress53@gmail.com,(31) 91960-4430,3772,MONOFASICO,CEMIG Minas Gerais,new,2025-10-21T14:03:29.106Z
"Patricia Ribeiro",patriciaribeiro73@gmail.com,(31) 93564-5224,1369,MONOFASICO,CEMIG Minas Gerais,new,2025-10-17T02:44:41.982Z
"Açougue Puro e Cia",aouguepuroecia94@gmail.com,(31) 97161-9862,4908,MONOFASICO,CEMIG Minas Gerais,new,2025-10-28T07:00:03.489Z
"Padaria Puro Express",padariapuroexpress79@gmail.com,(31) 94048-1451,4996,TRIFASICO,CEMIG Minas Gerais,new,2025-11-27T08:25:43.290Z
"Rafael Martins",rafaelmartins91@gmail.com,(31) 93644-4821,2647,TRIFASICO,CEMIG Minas Gerais,new,2025-12-21T10:10:20.054Z
"Paulo Souza",paulosouza77@gmail.com,(31) 93638-6960,1031,BIFASICO,CEMIG Minas Gerais,new,2025-12-01T14:33:29.369Z
"Açougue Sabor Express",aouguesaborexpress94@gmail.com,(31) 93524-5447,1971,MONOFASICO,CEMIG Minas Gerais,new,2025-12-05T11:02:34.002Z
"Mercado Mais e Cia",mercadomaisecia71@gmail.com,(31) 90258-3413,3363,TRIFASICO,CEMIG Minas Gerais,new,2025-12-19T22:28:20.793Z
"Mercado Mais",mercadomais69@gmail.com,(31) 97015-1522,3089,TRIFASICO,CEMIG Minas Gerais,new,2025-12-06T01:35:54.923Z
"Padaria Premium Ltda",padariapremiumltda67@gmail.com,(31) 93353-2262,4230,MONOFASICO,CEMIG Minas Gerais,new,2025-10-27T14:53:14.629Z
"Padaria Central Express",padariacentralexpress42@gmail.com,(31) 90532-8417,3106,TRIFASICO,CEMIG Minas Gerais,new,2026-01-02T02:28:00.990Z
"Açougue Mais Express",aouguemaisexpress93@gmail.com,(31) 96700-7200,501,TRIFASICO,CEMIG Minas Gerais,new,2025-10-25T02:34:56.890Z
"Padaria do Bairro Ltda",padariadobairroltda2@gmail.com,(31) 95524-5093,3487,MONOFASICO,CEMIG Minas Gerais,new,2025-11-11T22:57:01.018Z
"Padaria Mineiro Express",padariamineiroexpress57@gmail.com,(31) 93076-7009,2952,BIFASICO,CEMIG Minas Gerais,new,2025-10-18T03:11:19.670Z
"Fernanda Lima",fernandalima40@gmail.com,(31) 96502-3802,4802,TRIFASICO,CEMIG Minas Gerais,new,2025-11-13T12:41:55.444Z
"Maria Carvalho",mariacarvalho82@gmail.com,(31) 94035-4038,940,TRIFASICO,CEMIG Minas Gerais,new,2025-11-19T08:42:18.159Z
"Padaria Premium e Cia",padariapremiumecia63@gmail.com,(31) 99508-8890,984,TRIFASICO,CEMIG Minas Gerais,new,2025-10-17T00:50:43.279Z
"Padaria Puro",padariapuro58@gmail.com,(31) 98200-5002,1762,TRIFASICO,CEMIG Minas Gerais,new,2025-12-26T21:56:21.263Z
"Geraldo Carvalho",geraldocarvalho1@gmail.com,(31) 97581-2787,2153,TRIFASICO,CEMIG Minas Gerais,new,2025-10-28T04:13:16.125Z
"Paulo Alves",pauloalves35@gmail.com,(31) 90493-3909,1215,MONOFASICO,CEMIG Minas Gerais,new,2025-10-27T16:00:52.898Z
"Sorveteria Mineiro Ltda",sorveteriamineiroltda66@gmail.com,(31) 93825-1502,2342,MONOFASICO,CEMIG Minas Gerais,new,2025-10-26T23:56:25.657Z
"Mercado Real e Cia",mercadorealecia9@gmail.com,(31) 90290-6659,814,MONOFASICO,CEMIG Minas Gerais,new,2025-11-17T12:23:21.907Z
"Fernanda Ribeiro",fernandaribeiro63@gmail.com,(31) 99353-0009,4314,TRIFASICO,CEMIG Minas Gerais,new,2025-12-15T18:01:06.072Z
"Açougue Gostoso Ltda",aouguegostosoltda10@gmail.com,(31) 94436-4981,2815,TRIFASICO,CEMIG Minas Gerais,new,2026-01-05T15:01:52.205Z
"Açougue Gostoso Express",aouguegostosoexpress60@gmail.com,(31) 92528-6291,425,MONOFASICO,CEMIG Minas Gerais,new,2025-12-13T23:37:27.743Z
"Rafael Pereira",rafaelpereira68@gmail.com,(31) 93539-0019,3564,TRIFASICO,CEMIG Minas Gerais,new,2025-12-29T13:23:48.903Z
"Açougue Gostoso Ltda",aouguegostosoltda40@gmail.com,(31) 90775-0184,3339,BIFASICO,CEMIG Minas Gerais,new,2025-12-01T08:54:05.046Z
"Açougue Tropical Ltda",aouguetropicalltda85@gmail.com,(31) 96637-7366,4758,MONOFASICO,CEMIG Minas Gerais,new,2025-12-02T18:32:33.176Z
"Padaria Mais e Cia",padariamaisecia2@gmail.com,(31) 92034-1034,1647,BIFASICO,CEMIG Minas Gerais,new,2025-10-27T04:56:54.595Z
"Sorveteria Mineiro e Cia",sorveteriamineiroecia93@gmail.com,(31) 91778-4841,4113,BIFASICO,CEMIG Minas Gerais,new,2025-10-15T09:03:45.565Z
"Luiz Gomes",luizgomes12@gmail.com,(31) 93325-1693,4632,TRIFASICO,CEMIG Minas Gerais,new,2026-01-06T19:12:49.286Z
"Padaria Premium Express",padariapremiumexpress88@gmail.com,(31) 92578-4015,887,TRIFASICO,CEMIG Minas Gerais,new,2025-12-29T04:49:30.885Z
"Lucas Alves",lucasalves94@gmail.com,(31) 94171-5815,4140,TRIFASICO,CEMIG Minas Gerais,new,2025-12-07T22:28:04.094Z
"Luiz Almeida",luizalmeida75@gmail.com,(31) 98194-0684,539,MONOFASICO,CEMIG Minas Gerais,new,2025-10-22T08:10:51.116Z
"Açougue Gostoso Express",aouguegostosoexpress55@gmail.com,(31) 99473-4716,2849,BIFASICO,CEMIG Minas Gerais,new,2025-10-12T00:55:48.111Z
"Sorveteria do Bairro e Cia",sorveteriadobairroecia46@gmail.com,(31) 99624-0022,2072,BIFASICO,CEMIG Minas Gerais,new,2025-10-10T03:25:28.664Z
"Mercado Premium Express",mercadopremiumexpress63@gmail.com,(31) 91408-0198,717,BIFASICO,CEMIG Minas Gerais,new,2025-12-24T02:37:31.483Z
"Padaria Puro Ltda",padariapuroltda31@gmail.com,(31) 92857-4915,2283,BIFASICO,CEMIG Minas Gerais,new,2025-12-27T12:48:55.237Z
"Camila Ribeiro",camilaribeiro19@gmail.com,(31) 96787-9061,4885,BIFASICO,CEMIG Minas Gerais,new,2025-10-10T08:37:24.277Z
"Sorveteria Premium Ltda",sorveteriapremiumltda25@gmail.com,(31) 94235-1315,843,TRIFASICO,CEMIG Minas Gerais,new,2025-11-08T03:00:19.023Z
"Açougue Mais Express",aouguemaisexpress69@gmail.com,(31) 98864-0449,4877,TRIFASICO,CEMIG Minas Gerais,new,2025-12-02T22:19:52.681Z
"Camila Carvalho",camilacarvalho67@gmail.com,(31) 92041-8092,2482,MONOFASICO,CEMIG Minas Gerais,new,2025-11-18T20:49:35.924Z
"Carlos Santos",carlossantos78@gmail.com,(31) 97611-3370,755,TRIFASICO,CEMIG Minas Gerais,new,2025-10-24T20:55:13.333Z
"Mercado Gostoso e Cia",mercadogostosoecia57@gmail.com,(31) 96377-1668,1777,TRIFASICO,CEMIG Minas Gerais,new,2026-01-03T01:04:09.153Z
"Camila Souza",camilasouza95@gmail.com,(31) 94983-7852,2764,TRIFASICO,CEMIG Minas Gerais,new,2025-10-15T23:53:44.784Z
"Ana Ribeiro",anaribeiro58@gmail.com,(31) 96260-4471,2964,BIFASICO,CEMIG Minas Gerais,new,2025-11-17T04:59:26.188Z
"Rafael Martins",rafaelmartins50@gmail.com,(31) 97037-2474,4006,TRIFASICO,CEMIG Minas Gerais,new,2025-11-18T11:42:20.066Z
"Mercado Central e Cia",mercadocentralecia49@gmail.com,(31) 94373-6729,532,MONOFASICO,CEMIG Minas Gerais,new,2025-12-04T03:30:23.869Z
"Camila Lima",camilalima17@gmail.com,(31) 90841-2121,3853,TRIFASICO,CEMIG Minas Gerais,new,2025-10-16T04:50:24.334Z
"Mercado Mais Ltda",mercadomaisltda70@gmail.com,(31) 99535-8338,4063,BIFASICO,CEMIG Minas Gerais,new,2025-11-05T08:14:53.694Z
"Padaria Sabor",padariasabor39@gmail.com,(31) 91739-2959,1457,MONOFASICO,CEMIG Minas Gerais,new,2025-10-16T00:05:09.064Z
"Mercado Gostoso Express",mercadogostosoexpress61@gmail.com,(31) 91988-5880,884,BIFASICO,CEMIG Minas Gerais,new,2025-10-22T00:17:15.328Z
"Açougue Sabor Ltda",aouguesaborltda2@gmail.com,(31) 96730-1944,3236,TRIFASICO,CEMIG Minas Gerais,new,2025-10-12T20:44:04.616Z
"João Silva",joosilva59@gmail.com,(31) 97581-1395,920,TRIFASICO,CEMIG Minas Gerais,new,2025-12-30T15:08:56.747Z
"Mercado Real Express",mercadorealexpress21@gmail.com,(31) 93379-2316,670,BIFASICO,CEMIG Minas Gerais,new,2025-12-28T17:35:03.481Z
"Sorveteria Real",sorveteriareal63@gmail.com,(31) 98018-4619,1241,BIFASICO,CEMIG Minas Gerais,new,2026-01-02T11:04:30.217Z
"Geraldo Costa",geraldocosta45@gmail.com,(31) 99612-0593,3354,BIFASICO,CEMIG Minas Gerais,new,2025-11-15T06:42:34.063Z
"Sorveteria Puro e Cia",sorveteriapuroecia91@gmail.com,(31) 94868-1682,1864,BIFASICO,CEMIG Minas Gerais,new,2025-11-30T14:25:09.780Z
"Mercado Central",mercadocentral59@gmail.com,(31) 97076-9058,3274,MONOFASICO,CEMIG Minas Gerais,new,2025-11-22T11:42:41.693Z
"Mercado Mais e Cia",mercadomaisecia61@gmail.com,(31) 99792-6002,565,TRIFASICO,CEMIG Minas Gerais,new,2025-10-18T21:39:35.032Z
"Camila Rodrigues",camilarodrigues39@gmail.com,(31) 99177-8105,3292,BIFASICO,CEMIG Minas Gerais,new,2025-11-03T01:43:27.780Z
"Açougue do Bairro",aouguedobairro20@gmail.com,(31) 90771-6820,3742,MONOFASICO,CEMIG Minas Gerais,new,2025-11-14T08:52:46.728Z
"Padaria do Bairro e Cia",padariadobairroecia65@gmail.com,(31) 94738-7832,3564,TRIFASICO,CEMIG Minas Gerais,new,2025-10-12T13:20:42.101Z
"Paulo Alves",pauloalves55@gmail.com,(31) 98488-9851,4398,TRIFASICO,CEMIG Minas Gerais,new,2025-10-18T13:38:12.798Z
"Sorveteria Mais Ltda",sorveteriamaisltda47@gmail.com,(31) 92911-1089,1421,BIFASICO,CEMIG Minas Gerais,new,2025-10-22T22:17:30.690Z
"João Gomes",joogomes60@gmail.com,(31) 94181-1649,2313,TRIFASICO,CEMIG Minas Gerais,new,2025-11-23T22:56:25.032Z
"Padaria do Bairro",padariadobairro97@gmail.com,(31) 97180-5400,1424,MONOFASICO,CEMIG Minas Gerais,new,2025-10-29T02:39:51.667Z
"José Lima",joslima19@gmail.com,(31) 97951-8267,924,BIFASICO,CEMIG Minas Gerais,new,2025-10-24T12:15:44.061Z
"Açougue Mais Ltda",aouguemaisltda83@gmail.com,(31) 95906-9279,4476,BIFASICO,CEMIG Minas Gerais,new,2025-11-30T14:44:16.166Z
"Açougue Mais Ltda",aouguemaisltda89@gmail.com,(31) 92727-6406,3575,TRIFASICO,CEMIG Minas Gerais,new,2025-11-07T04:15:06.380Z
"Padaria Mineiro e Cia",padariamineiroecia16@gmail.com,(31) 98849-2444,2663,TRIFASICO,CEMIG Minas Gerais,new,2025-12-31T13:22:09.548Z
"Lucas Carvalho",lucascarvalho31@gmail.com,(31) 94143-1914,2667,BIFASICO,CEMIG Minas Gerais,new,2025-10-24T14:36:58.556Z
"Mercado Tropical Ltda",mercadotropicalltda31@gmail.com,(31) 98693-9367,501,TRIFASICO,CEMIG Minas Gerais,new,2025-12-25T10:24:17.296Z
"João Oliveira",joooliveira4@gmail.com,(31) 96753-9591,4173,BIFASICO,CEMIG Minas Gerais,new,2025-10-24T10:27:44.181Z
"Padaria Mineiro Ltda",padariamineiroltda10@gmail.com,(31) 93781-0185,4131,TRIFASICO,CEMIG Minas Gerais,new,2025-11-26T11:26:58.264Z
"Marcos Carvalho",marcoscarvalho84@gmail.com,(31) 96152-6172,2017,BIFASICO,CEMIG Minas Gerais,new,2025-11-04T06:47:57.522Z
"Padaria Puro e Cia",padariapuroecia9@gmail.com,(31) 91404-8581,2838,BIFASICO,CEMIG Minas Gerais,new,2025-11-18T03:42:10.037Z
"Padaria Mais e Cia",padariamaisecia1@gmail.com,(31) 98932-4930,3384,MONOFASICO,CEMIG Minas Gerais,new,2025-12-09T03:04:34.669Z
"Padaria Central",padariacentral42@gmail.com,(31) 92458-3958,2866,BIFASICO,CEMIG Minas Gerais,new,2025-12-02T21:42:10.444Z
"Mercado Real",mercadoreal46@gmail.com,(31) 91249-7825,3293,TRIFASICO,CEMIG Minas Gerais,new,2025-10-19T05:08:13.936Z
"Mercado Tropical Express",mercadotropicalexpress99@gmail.com,(31) 95819-1372,3539,BIFASICO,CEMIG Minas Gerais,new,2026-01-04T22:16:37.237Z
"Sorveteria Puro e Cia",sorveteriapuroecia71@gmail.com,(31) 95845-9614,2663,BIFASICO,CEMIG Minas Gerais,new,2025-12-07T11:19:24.888Z
"Rafael Gomes",rafaelgomes13@gmail.com,(31) 96683-2298,950,TRIFASICO,CEMIG Minas Gerais,new,2025-11-22T04:52:26.447Z
"Aline Alves",alinealves61@gmail.com,(31) 94981-2492,3613,MONOFASICO,CEMIG Minas Gerais,new,2025-10-10T08:42:48.469Z
"Açougue Mais",aouguemais29@gmail.com,(31) 93389-4709,677,MONOFASICO,CEMIG Minas Gerais,new,2025-12-28T09:10:44.961Z
"Sorveteria Sabor Ltda",sorveteriasaborltda79@gmail.com,(31) 92748-1311,1581,BIFASICO,CEMIG Minas Gerais,new,2026-01-07T07:30:07.634Z
"Mercado Mineiro e Cia",mercadomineiroecia71@gmail.com,(31) 98479-8014,4584,TRIFASICO,CEMIG Minas Gerais,new,2026-01-03T03:46:12.620Z
"Mercado Sabor Express",mercadosaborexpress98@gmail.com,(31) 94434-1221,2406,BIFASICO,CEMIG Minas Gerais,new,2025-11-25T10:08:20.483Z
"Mercado Real Ltda",mercadorealltda21@gmail.com,(31) 95569-6911,2614,BIFASICO,CEMIG Minas Gerais,new,2025-10-16T07:03:26.782Z
"Carlos Santos",carlossantos94@gmail.com,(31) 91388-4300,4606,TRIFASICO,CEMIG Minas Gerais,new,2025-11-18T02:10:51.389Z
"Padaria Puro",padariapuro91@gmail.com,(31) 97420-2339,1345,TRIFASICO,CEMIG Minas Gerais,new,2025-12-28T07:34:13.777Z
"Padaria Premium e Cia",padariapremiumecia51@gmail.com,(31) 96796-6735,1359,TRIFASICO,CEMIG Minas Gerais,new,2025-12-29T21:06:40.868Z
"Mercado Sabor",mercadosabor51@gmail.com,(31) 94454-4986,3644,BIFASICO,CEMIG Minas Gerais,new,2025-11-03T03:18:03.286Z
"Ana Ferreira",anaferreira25@gmail.com,(31) 95203-1813,1406,MONOFASICO,CEMIG Minas Gerais,new,2025-12-22T00:31:03.990Z
"Açougue do Bairro Express",aouguedobairroexpress36@gmail.com,(31) 98266-1551,3278,TRIFASICO,CEMIG Minas Gerais,new,2025-11-26T01:15:18.414Z
"Açougue Sabor Express",aouguesaborexpress56@gmail.com,(31) 96875-6545,2826,TRIFASICO,CEMIG Minas Gerais,new,2025-10-14T01:00:21.170Z
"Açougue Mais",aouguemais28@gmail.com,(31) 90535-2929,3669,TRIFASICO,CEMIG Minas Gerais,new,2025-10-21T12:22:09.324Z
"Mercado Mais e Cia",mercadomaisecia42@gmail.com,(31) 93294-0394,4051,BIFASICO,CEMIG Minas Gerais,new,2025-12-25T10:21:35.994Z
"Mercado Central",mercadocentral3@gmail.com,(31) 93748-2841,4661,MONOFASICO,CEMIG Minas Gerais,new,2025-11-29T10:41:35.625Z
"Patricia Oliveira",patriciaoliveira10@gmail.com,(31) 93698-3994,1710,BIFASICO,CEMIG Minas Gerais,new,2025-12-05T16:32:25.178Z
"Aline Martins",alinemartins60@gmail.com,(31) 99430-3300,3636,BIFASICO,CEMIG Minas Gerais,new,2026-01-07T11:43:59.166Z
"Sorveteria Mais",sorveteriamais90@gmail.com,(31) 98792-8587,1423,MONOFASICO,CEMIG Minas Gerais,new,2025-12-10T06:59:31.038Z
"Antonio Almeida",antonioalmeida99@gmail.com,(31) 94474-3428,2757,MONOFASICO,CEMIG Minas Gerais,new,2025-12-05T16:17:44.875Z
"Padaria Premium Express",padariapremiumexpress44@gmail.com,(31) 94925-6628,1692,TRIFASICO,CEMIG Minas Gerais,new,2025-11-22T09:16:12.569Z
"Padaria do Bairro Ltda",padariadobairroltda94@gmail.com,(31) 99469-9950,3929,TRIFASICO,CEMIG Minas Gerais,new,2025-10-27T00:44:32.356Z
"Sorveteria Mineiro e Cia",sorveteriamineiroecia47@gmail.com,(31) 90245-8105,3065,BIFASICO,CEMIG Minas Gerais,new,2025-12-05T19:52:27.599Z
"Mercado do Bairro e Cia",mercadodobairroecia84@gmail.com,(31) 95719-7233,4765,TRIFASICO,CEMIG Minas Gerais,new,2025-11-01T12:19:32.071Z
"Luiz Almeida",luizalmeida24@gmail.com,(31) 92707-4831,4711,BIFASICO,CEMIG Minas Gerais,new,2025-10-16T05:37:26.448Z
"Sandra Santos",sandrasantos58@gmail.com,(31) 97451-9187,3430,MONOFASICO,CEMIG Minas Gerais,new,2025-11-23T03:41:25.343Z
"Sorveteria Sabor Express",sorveteriasaborexpress63@gmail.com,(31) 99576-5583,2712,BIFASICO,CEMIG Minas Gerais,new,2025-10-29T10:28:59.423Z
"Sorveteria Tropical Express",sorveteriatropicalexpress95@gmail.com,(31) 99476-8248,3291,TRIFASICO,CEMIG Minas Gerais,new,2025-11-14T16:15:05.805Z
"Açougue Tropical Express",aouguetropicalexpress54@gmail.com,(31) 94061-4782,3457,TRIFASICO,CEMIG Minas Gerais,new,2025-11-21T07:53:11.141Z
"Rafael Rodrigues",rafaelrodrigues15@gmail.com,(31) 95952-8183,1223,TRIFASICO,CEMIG Minas Gerais,new,2025-11-26T14:39:45.771Z
"Mercado Sabor Ltda",mercadosaborltda26@gmail.com,(31) 99693-0431,1193,BIFASICO,CEMIG Minas Gerais,new,2025-10-10T15:26:01.256Z
"Mercado Mineiro Express",mercadomineiroexpress25@gmail.com,(31) 97531-3964,4648,TRIFASICO,CEMIG Minas Gerais,new,2025-11-08T22:38:58.099Z
"Padaria Tropical Express",padariatropicalexpress46@gmail.com,(31) 98961-2401,2531,TRIFASICO,CEMIG Minas Gerais,new,2025-12-17T06:33:48.889Z
"Padaria Premium e Cia",padariapremiumecia6@gmail.com,(31) 95941-3921,2428,BIFASICO,CEMIG Minas Gerais,new,2025-12-14T23:10:39.435Z
"Açougue Puro",aouguepuro85@gmail.com,(31) 99790-6785,1219,MONOFASICO,CEMIG Minas Gerais,new,2025-12-10T07:08:18.683Z
"Sandra Souza",sandrasouza58@gmail.com,(31) 92310-1580,394,MONOFASICO,CEMIG Minas Gerais,new,2026-01-03T19:12:18.273Z
"Mercado Puro Ltda",mercadopuroltda68@gmail.com,(31) 96377-4661,1778,TRIFASICO,CEMIG Minas Gerais,new,2025-12-29T19:19:17.411Z
"Sorveteria Mais",sorveteriamais60@gmail.com,(31) 91310-3164,3579,TRIFASICO,CEMIG Minas Gerais,new,2025-10-30T13:50:08.705Z
"Camila Ferreira",camilaferreira41@gmail.com,(31) 95566-2044,2349,MONOFASICO,CEMIG Minas Gerais,new,2025-12-04T17:37:30.735Z
"Mercado Mineiro",mercadomineiro7@gmail.com,(31) 92226-2322,2452,MONOFASICO,CEMIG Minas Gerais,new,2025-12-24T08:25:24.523Z
"Sorveteria Central Ltda",sorveteriacentralltda74@gmail.com,(31) 92370-7723,2639,BIFASICO,CEMIG Minas Gerais,new,2025-12-19T03:27:48.210Z
"Padaria Puro",padariapuro20@gmail.com,(31) 98344-3498,3328,BIFASICO,CEMIG Minas Gerais,new,2025-12-15T22:20:39.446Z
"Mercado Central e Cia",mercadocentralecia88@gmail.com,(31) 98433-0645,2852,TRIFASICO,CEMIG Minas Gerais,new,2025-10-29T16:43:55.665Z
"Maria Carvalho",mariacarvalho43@gmail.com,(31) 98094-5654,397,TRIFASICO,CEMIG Minas Gerais,new,2025-12-12T14:42:45.786Z
"Açougue do Bairro",aouguedobairro51@gmail.com,(31) 94359-3104,2195,TRIFASICO,CEMIG Minas Gerais,new,2025-10-23T01:13:42.695Z
"Açougue Tropical Ltda",aouguetropicalltda34@gmail.com,(31) 99340-5577,677,MONOFASICO,CEMIG Minas Gerais,new,2025-10-29T19:34:13.877Z
"José Souza",jossouza37@gmail.com,(31) 99818-8603,4756,TRIFASICO,CEMIG Minas Gerais,new,2025-12-23T08:59:36.664Z
"Mercado Puro",mercadopuro92@gmail.com,(31) 90508-2315,3340,MONOFASICO,CEMIG Minas Gerais,new,2025-10-17T10:45:58.771Z
"Rafael Almeida",rafaelalmeida55@gmail.com,(31) 97366-0884,1253,BIFASICO,CEMIG Minas Gerais,new,2026-01-05T22:48:49.625Z
"Mercado do Bairro Express",mercadodobairroexpress2@gmail.com,(31) 93245-5606,2689,TRIFASICO,CEMIG Minas Gerais,new,2025-10-18T08:40:04.025Z
"Sorveteria Mais",sorveteriamais37@gmail.com,(31) 92959-3141,1700,TRIFASICO,CEMIG Minas Gerais,new,2025-11-07T00:08:04.946Z
"Sorveteria Sabor",sorveteriasabor51@gmail.com,(31) 99526-8251,2538,BIFASICO,CEMIG Minas Gerais,new,2025-10-24T17:00:45.816Z
"Açougue Real Ltda",aouguerealltda69@gmail.com,(31) 97697-4249,3819,TRIFASICO,CEMIG Minas Gerais,new,2026-01-04T23:33:49.374Z
"José Gomes",josgomes54@gmail.com,(31) 97771-8455,3512,BIFASICO,CEMIG Minas Gerais,new,2025-12-26T21:11:14.373Z
"Açougue Real e Cia",aouguerealecia77@gmail.com,(31) 91099-7867,2207,TRIFASICO,CEMIG Minas Gerais,new,2025-12-05T08:03:54.856Z
"Padaria Mineiro Ltda",padariamineiroltda96@gmail.com,(31) 92283-5796,1482,BIFASICO,CEMIG Minas Gerais,new,2025-11-15T06:49:50.883Z
"Padaria Mineiro e Cia",padariamineiroecia97@gmail.com,(31) 99875-0186,3370,TRIFASICO,CEMIG Minas Gerais,new,2025-11-25T04:14:54.655Z
"Padaria Tropical Ltda",padariatropicalltda53@gmail.com,(31) 95713-9261,2991,BIFASICO,CEMIG Minas Gerais,new,2025-10-20T02:15:55.677Z
"Maria Oliveira",mariaoliveira7@gmail.com,(31) 91596-0131,2598,BIFASICO,CEMIG Minas Gerais,new,2025-10-28T18:34:54.056Z
"Mercado Tropical",mercadotropical17@gmail.com,(31) 99163-2405,3163,BIFASICO,CEMIG Minas Gerais,new,2025-11-22T05:52:40.276Z
"Padaria Mais",padariamais98@gmail.com,(31) 97725-3231,2833,MONOFASICO,CEMIG Minas Gerais,new,2025-10-18T07:15:50.296Z
"Luiz Rodrigues",luizrodrigues50@gmail.com,(31) 96637-6094,1857,BIFASICO,CEMIG Minas Gerais,new,2025-11-24T03:48:37.962Z
